Comparison,Z,P.unadj,P.adj
dada2-basic - vsearch-extra,2.86504259224441,0.00416953156698509,0.0115463951085741
dada2-extra - vsearch-extra,2.86504259224441,0.00416953156698509,0.0125085947009553
dada2-standard - vsearch-extra,2.86504259224441,0.00416953156698509,0.0136457396737694
deblur-basic - vsearch-extra,3.34254969095182,0.000830124909527325,0.0149422483714919
deblur-extra - vsearch-extra,2.86504259224441,0.00416953156698509,0.0150103136411463
deblur-standard - vsearch-extra,2.86504259224441,0.00416953156698509,0.0166781262679404
dada2-basic - vsearch-basic,2.62628904289071,0.00863214814100284,0.0172642962820057
dada2-extra - vsearch-basic,2.62628904289071,0.00863214814100284,0.0182798431221237
dada2-basic - vsearch-standard,2.86504259224441,0.00416953156698509,0.0187628920514329
dada2-standard - vsearch-basic,2.62628904289071,0.00863214814100284,0.0194223333172564
deblur-extra - vsearch-basic,2.62628904289071,0.00863214814100284,0.0207171555384068
dada2-extra - vsearch-standard,2.86504259224441,0.00416953156698509,0.0214433052016376
deblur-standard - vsearch-basic,2.62628904289071,0.00863214814100284,0.0221969523625787
deblur-basic - vsearch-basic,3.10379614159812,0.00191054923833852,0.0229265908600622
dada2-standard - vsearch-standard,2.86504259224441,0.00416953156698509,0.0250171894019105
deblur-basic - vsearch-standard,3.34254969095182,0.000830124909527325,0.0298844967429837
deblur-extra - vsearch-standard,2.86504259224441,0.00416953156698509,0.0300206272822927
deblur-standard - vsearch-standard,2.86504259224441,0.00416953156698509,0.0375257841028658
dada2-basic - deblur-basic,-0.477507098707402,0.633001067166697,0.990784279043526
dada2-basic - dada2-extra,0,1,1
dada2-basic - dada2-standard,0,1,1
dada2-extra - dada2-standard,0,1,1
dada2-extra - deblur-basic,-0.477507098707402,0.633001067166697,1
dada2-standard - deblur-basic,-0.477507098707402,0.633001067166697,1
dada2-basic - deblur-extra,0,1,1
dada2-extra - deblur-extra,0,1,1
dada2-standard - deblur-extra,0,1,1
deblur-basic - deblur-extra,0.477507098707402,0.633001067166697,1
dada2-basic - deblur-standard,0,1,1
dada2-extra - deblur-standard,0,1,1
dada2-standard - deblur-standard,0,1,1
deblur-basic - deblur-standard,0.477507098707402,0.633001067166697,1
deblur-extra - deblur-standard,0,1,1
vsearch-basic - vsearch-extra,0.238753549353701,0.811296690861361,1
vsearch-basic - vsearch-standard,0.238753549353701,0.811296690861361,1
vsearch-extra - vsearch-standard,0,1,1
