"HashID","pair1Taxa","pair2Taxa","matchtest","Pair","Level"
"0ad2f92feb91e9fd8d62f5f7d6d2b23f","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Vsearch","Class"
"60c0c7eff85941c538e20e513610c198","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Vsearch","Class"
"9ec056fe0f041334035ed3199e6b185c","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Vsearch","Class"
"db5ff6d6ae0d9b3857ee420b5e9509e1","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Vsearch","Class"
"dcde6e4f5bcacb6cfc65f5df9e68662d","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Vsearch","Class"
"0ad2f92feb91e9fd8d62f5f7d6d2b23f","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Blast","Class"
"60c0c7eff85941c538e20e513610c198","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Blast","Class"
"9ec056fe0f041334035ed3199e6b185c","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Blast","Class"
"db5ff6d6ae0d9b3857ee420b5e9509e1","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Blast","Class"
"dcde6e4f5bcacb6cfc65f5df9e68662d","Arthropoda;Insecta","Arthropoda;Arachnida",FALSE,"Palmer:Blast","Class"
"06eaa07df2f9d7a4dd040819d00a9022","Arthropoda;Insecta;Diptera","Arthropoda;Insecta;Blattodea",FALSE,"Palmer:Vsearch","Order"
"0ad2f92feb91e9fd8d62f5f7d6d2b23f","Arthropoda;Insecta;Lepidoptera","Arthropoda;Arachnida;Trombidiformes",FALSE,"Palmer:Vsearch","Order"
"3456ff6251490eea3e12040d3e345c65","Arthropoda;Insecta;Diptera","Arthropoda;Insecta;Blattodea",FALSE,"Palmer:Vsearch","Order"
"431c520635c7e7d0306ca075e21cec32","Arthropoda;Insecta;Diptera","Arthropoda;Insecta;Zygentoma",FALSE,"Palmer:Vsearch","Order"
"55f7bfa32b49ec54a7eb6aa4849a20ac","Arthropoda;Insecta;Diptera","Arthropoda;Insecta;Blattodea",FALSE,"Palmer:Vsearch","Order"
"60c0c7eff85941c538e20e513610c198","Arthropoda;Insecta;Hymenoptera","Arthropoda;Arachnida;Mesostigmata",FALSE,"Palmer:Vsearch","Order"
"6ce40de9b850efdda19b3ea47579d282","Arthropoda;Insecta;Lepidoptera","Arthropoda;Insecta;Blattodea",FALSE,"Palmer:Vsearch","Order"
